Tiempo(ms),Setpoint(cm),Altura(cm),PWM
12161,15.00,7.41,110.00
12181,15.00,7.77,110.00
12201,15.00,7.98,110.00
12221,15.00,8.11,110.00
12241,15.00,9.54,110.00
12261,15.00,9.04,220.00
12281,15.00,8.74,220.00
12301,15.00,8.69,133.70
12321,15.00,8.53,178.87
12341,15.00,8.17,220.00
12361,15.00,7.96,203.85
12381,15.00,7.83,170.38
12401,15.00,7.75,150.35
12421,15.00,7.70,138.38
12441,15.00,7.94,110.00
12461,15.00,8.34,110.00
12481,15.00,8.58,110.00
12501,15.00,8.46,162.40
12521,15.00,8.13,220.00
12541,15.00,7.93,198.49
12561,15.00,7.81,167.52
12581,15.00,7.74,148.99
12601,15.00,7.70,137.91
12621,15.00,7.67,131.32
12641,15.00,7.66,127.41
12661,15.00,7.65,122.32
12681,15.00,7.65,124.85
12701,15.00,7.64,123.67
12721,15.00,9.40,110.00
12741,15.00,10.45,110.00
12761,15.00,11.22,110.00
12781,15.00,11.68,110.00
12801,15.00,11.96,110.00
12821,15.00,10.36,220.00
12841,15.00,9.14,220.00
12861,15.00,8.41,220.00
12881,15.00,7.97,220.00
12901,15.00,7.32,220.00
12921,15.00,6.93,220.00
12941,15.00,6.70,220.00
12961,15.00,6.68,134.41
12981,15.00,6.94,110.00
13001,15.00,7.09,110.00
13021,15.00,7.31,110.00
13041,15.00,7.83,110.00
13061,15.00,8.27,110.00
13081,15.00,8.54,110.00
13101,15.00,8.70,110.00
13121,15.00,8.67,127.95
13141,15.00,8.65,126.48
13161,15.00,8.63,122.89
13181,15.00,8.63,120.78
13201,15.00,8.62,119.55
13221,15.00,8.62,116.06
13241,15.00,11.63,110.00
13261,15.00,12.21,110.00
13281,15.00,10.78,220.00
13301,15.00,9.92,220.00
13321,15.00,8.74,220.00
13341,15.00,7.78,220.00
13361,15.00,7.21,220.00
13381,15.00,6.73,220.00
13401,15.00,6.18,220.00
13421,15.00,5.84,220.00
13441,15.00,5.91,110.00
13461,15.00,6.34,110.00
13481,15.00,7.25,110.00
13501,15.00,7.79,110.00
13521,15.00,8.12,110.00
13541,15.00,9.40,110.00
13561,15.00,9.89,110.00
13581,15.00,8.99,220.00
13601,15.00,8.45,220.00
13621,15.00,8.65,110.00
13641,15.00,8.77,110.00
13661,15.00,8.85,110.00
13681,15.00,9.01,110.00
13701,15.00,12.54,110.00
13721,15.00,14.66,110.00
13741,15.00,15.93,110.00
13761,15.00,15.60,211.87
13781,15.00,12.80,220.00
13801,15.00,10.47,220.00
13821,15.00,9.08,220.00
13841,15.00,8.12,220.00
13861,15.00,7.41,220.00
13881,15.00,6.98,220.00
13901,15.00,6.73,220.00
13921,15.00,6.57,192.34
13941,15.00,6.61,118.34
13961,15.00,6.89,110.00
13981,15.00,7.19,110.00
14001,15.00,7.76,110.00
14021,15.00,8.10,110.00
14041,15.00,8.31,110.00
14061,15.00,8.43,110.00
14081,15.00,8.50,110.00
14101,15.00,8.55,110.00
14121,15.00,8.70,110.00
14141,15.00,9.06,110.00
14161,15.00,9.01,137.05
14181,15.00,8.98,129.65
14201,15.00,9.23,110.00
14221,15.00,9.37,110.00
14241,15.00,8.95,220.00
14261,15.00,8.69,220.00
14281,15.00,8.53,185.50
14301,15.00,8.05,220.00
14321,15.00,7.63,220.00
14341,15.00,6.85,220.00
14361,15.00,6.25,220.00
14381,15.00,5.90,220.00
14401,15.00,5.69,220.00
14421,15.00,5.56,190.27
14441,15.00,5.48,170.41
14461,15.00,5.69,110.00
14481,15.00,6.47,110.00
14501,15.00,7.07,110.00
14521,15.00,7.82,110.00
14541,15.00,8.27,110.00
14561,15.00,10.19,110.00
14581,15.00,11.21,110.00
14601,15.00,10.30,220.00
14621,15.00,9.76,220.00
14641,15.00,9.56,194.63
14661,15.00,9.44,164.01
14681,15.00,9.37,145.67
14701,15.00,9.46,110.00
14721,15.00,9.64,110.00
14741,15.00,9.75,110.00
14761,15.00,9.82,110.00
14781,15.00,9.87,110.00
14801,15.00,12.38,110.00
14821,15.00,11.27,220.00
14841,15.00,10.34,220.00
14861,15.00,9.39,220.00
14881,15.00,8.82,220.00
14901,15.00,8.47,220.00
14921,15.00,8.27,206.69
14941,15.00,8.15,171.89
14961,15.00,8.08,153.80
14981,15.00,8.03,145.78
15001,15.00,8.00,138.27
15021,15.00,7.99,133.81
15041,15.00,7.98,131.17
15061,15.00,7.97,129.64
15081,15.00,7.97,128.76
15101,15.00,8.23,110.00
15121,15.00,8.38,110.00
15141,15.00,8.35,137.47
15161,15.00,8.46,110.00
15181,15.00,8.39,149.39
15201,15.00,8.36,140.04
15221,15.00,8.46,110.00
15241,15.00,8.52,110.00
15261,15.00,8.56,110.00
15281,15.00,9.38,110.00
15301,15.00,11.10,110.00
15321,15.00,12.70,110.00
15341,15.00,13.66,110.00
15361,15.00,14.23,110.00
15381,15.00,12.92,220.00
15401,15.00,9.90,220.00
15421,15.00,7.96,220.00
15441,15.00,6.79,220.00
