0,14.73,146.16
5681,15.00,15.09,142.58
5701,15.00,15.09,142.59
5721,15.00,15.09,142.59
5741,15.00,15.09,142.59
5761,15.00,15.09,142.59
5781,15.00,15.09,142.58
5801,15.00,15.09,142.58
5821,15.00,15.09,142.58
5841,15.00,15.09,142.58
5861,15.00,15.09,142.58
5881,15.00,15.09,142.57
5901,15.00,15.09,142.57
5921,15.00,15.09,142.57
5941,15.00,15.09,142.57
5961,15.00,15.09,142.56
5981,15.00,15.09,142.56
6001,15.00,14.99,145.40
6021,15.00,15.02,141.97
6041,15.00,15.04,142.29
6061,15.00,15.05,142.38
6081,15.00,15.06,142.45
6101,15.00,15.06,142.49
6121,15.00,15.06,142.52
6141,15.00,15.07,142.54
6161,15.00,15.07,142.42
6181,15.00,15.08,142.45
6201,15.00,15.08,142.48
6221,15.00,15.09,142.50
6241,15.00,15.09,142.51
6261,15.00,15.09,142.52
6281,15.00,15.09,142.52
6301,15.00,15.09,142.52
6321,15.00,15.09,142.53
6341,15.00,15.09,142.53
6361,15.00,15.09,142.53
6381,15.00,15.19,139.69
6401,15.00,15.27,140.27
6421,15.00,15.32,140.68
6441,15.00,15.25,143.80
6461,15.00,15.20,143.41
6481,15.00,15.17,143.13
6501,15.00,15.15,142.93
6521,15.00,15.13,142.80
6541,15.00,15.12,142.70
6561,15.00,15.11,142.63
6581,15.00,15.10,142.58
6601,15.00,15.10,142.55
6621,15.00,15.10,142.52
6641,15.00,15.10,142.51
6661,15.00,14.77,151.29
6681,15.00,14.55,149.46
6701,15.00,14.39,148.18
6721,15.00,14.28,147.29
6741,15.00,14.21,146.54
6761,15.00,14.16,146.15
6781,15.00,14.55,134.25
6801,15.00,14.82,136.48
6821,15.00,15.01,138.04
6841,15.00,15.03,142.11
6861,15.00,15.05,142.25
6881,15.00,15.06,142.34
6901,15.00,15.17,139.57
6921,15.00,15.25,140.21
6941,15.00,15.31,140.65
6961,15.00,15.35,140.96
6981,15.00,15.37,141.17
7001,15.00,15.08,149.96
7021,15.00,14.87,148.27
7041,15.00,14.72,147.09
7061,15.00,14.62,146.26
7081,15.00,14.55,145.69
7101,15.00,14.50,145.30
7121,15.00,14.47,145.02
7141,15.00,14.44,144.84
7161,15.00,14.43,144.71
7181,15.00,14.52,141.79
7201,15.00,14.58,142.33
7221,15.00,14.63,142.70
7241,15.00,14.66,142.97
7261,15.00,14.68,143.02
7281,15.00,14.60,146.16
7301,15.00,14.53,145.66
7321,15.00,14.49,145.31
7341,15.00,14.46,145.07
7361,15.00,14.44,144.91
7381,15.00,14.42,144.80
7401,15.00,14.41,144.73
7421,15.00,14.40,144.69
7441,15.00,14.40,144.66
7461,15.00,14.39,144.79
7481,15.00,14.39,144.61
7501,15.00,14.38,144.76
7521,15.00,14.38,144.75
7541,15.00,14.28,147.44
7561,15.00,14.21,146.88
7581,15.00,14.15,146.64
7601,15.00,14.11,146.34
7621,15.00,14.09,146.15
7641,15.00,14.07,146.02
7661,15.00,14.06,145.94
7681,15.00,14.05,145.74
7701,15.00,14.26,140.07
7721,15.00,14.40,141.25
7741,15.00,14.50,142.09
7761,15.00,14.57,142.67
7781,15.00,14.51,145.92
7801,15.00,14.48,145.62
7821,15.00,14.44,145.56
7841,15.00,14.32,148.09
7861,15.00,14.24,147.42
7881,15.00,14.18,146.95
7901,15.00,14.56,135.15
7921,15.00,14.82,137.31
7941,15.00,15.00,138.83
7961,15.00,15.13,139.88
7981,15.00,15.22,140.62
8001,15.00,15.29,141.13
8021,15.00,15.33,141.49
8041,15.00,15.36,141.73
8061,15.00,15.38,141.90
8081,15.00,15.40,141.87
8101,15.00,15.41,142.12
8121,15.00,15.52,139.33
8141,15.00,15.18,151.43
8161,15.00,14.94,149.47
8181,15.00,14.67,151.09
8201,15.00,14.58,146.54
8221,15.00,14.42,149.04
8241,15.00,14.30,148.10
8261,15.00,14.22,147.45
8281,15.00,14.16,147.00
8301,15.00,14.12,146.69
8321,15.00,14.51,134.85
8341,15.00,14.79,137.12
8361,15.00,14.98,138.71
8381,15.00,15.02,142.66
8401,15.00,15.04,142.84
8421,15.00,15.05,142.97
8441,15.00,15.07,143.06
8461,15.00,15.07,143.12
8481,15.00,15.07,143.30
8501,15.00,15.08,143.16
8521,15.00,15.08,143.19
8541,15.00,15.08,143.35
8561,15.00,15.08,143.19
8581,15.00,15.09,143.21
8601,15.00,15.09,143.22
8621,15.00,15.09,143.23
8641,15.00,15.09,143.23
8661,15.00,15.19,140.40
8681,15.00,15.27,140.99
8701,15.00,15.32,141.40
8721,15.00,15.35,141.68
8741,15.00,15.38,141.87
8761,15.00,15.39,142.01
8781,15.00,15.41,142.10
