Tiempo(ms),PWM,Altura(cm)
17120,173,21.50
17140,173,21.35
17160,173,21.78
17180,173,21.51
17200,173,21.35
17220,173,21.26
17240,173,21.34
17260,173,21.38
17280,173,22.07
17320,173,21.95
17340,173,21.87
17380,173,21.83
17400,173,21.80
17420,173,21.78
17440,173,21.77
17460,173,21.90
17481,173,21.98
17500,173,22.02
17540,173,22.05
17560,173,22.06
17600,173,22.60
17620,173,22.39
17640,173,21.61
17660,173,22.20
17680,173,22.03
17700,173,21.92
17720,173,21.85
17740,173,21.81
17760,173,21.80
17780,173,21.25
17800,173,20.93
17820,173,21.27
17840,173,20.95
17860,173,20.75
17880,173,21.16
17900,173,21.41
17920,173,21.56
17940,173,20.05
17960,173,20.36
17980,173,20.54
18000,173,20.78
18020,173,20.92
18040,173,21.00
18060,173,21.05
18080,173,21.61
18100,173,21.41
18121,173,21.69
18140,173,21.85
18160,173,21.42
18180,173,21.69
18200,173,21.85
18220,173,21.94
18240,173,21.47
18260,173,21.20
18280,173,21.03
18300,173,20.93
18320,173,20.88
18340,173,20.84
18360,173,20.82
18380,173,21.34
18400,173,21.65
18420,173,21.30
18440,173,21.09
18460,173,20.98
18480,173,20.90
18500,173,20.86
18520,173,20.83
18560,173,20.82
18580,173,20.81
18600,173,21.34
18620,173,21.64
18640,173,21.30
18660,173,21.62
18680,173,21.81
18700,173,21.92
18720,173,20.40
18740,173,20.56
18761,173,20.66
18780,173,20.71
18800,173,20.75
18820,173,20.90
18840,173,20.99
18860,173,20.91
18880,173,21.00
18900,173,22.47
18920,173,23.34
18940,173,22.83
18960,173,22.53
18980,173,22.35
19000,173,21.71
19020,173,21.34
19040,173,21.11
19060,173,20.98
19080,173,20.91
19100,173,20.86
19120,173,21.37
19140,173,22.57
19160,173,21.84
19180,173,21.94
19200,173,22.53
19220,173,23.38
19240,173,22.46
19260,173,21.91
19280,173,21.59
19300,173,21.40
19340,173,21.81
19360,173,21.53
19380,173,21.36
19401,173,21.26
19420,173,22.26
19440,173,22.32
19460,173,22.36
19480,173,21.85
19500,173,21.55
19520,173,21.38
19540,173,21.27
19560,173,21.21
19580,173,21.17
19600,173,21.15
19620,173,21.14
19640,173,21.53
19660,173,21.24
19680,173,21.06
19720,173,21.48
19740,173,21.86
19760,173,21.56
19780,173,21.38
19800,173,21.80
19820,173,22.05
19840,173,22.20
19860,173,22.29
19880,173,22.34
19900,173,21.45
19920,173,21.45
19940,173,21.45
19960,173,21.44
19980,173,21.84
20000,173,22.60
20020,173,22.00
20041,173,21.64
20080,173,21.03
20100,173,20.67
20120,173,20.98
20140,173,21.17
20160,173,21.81
20180,173,21.66
20200,173,21.58
20220,173,21.52
20240,173,22.02
20260,173,21.25
20280,173,21.33
20300,173,21.51
20320,173,21.09
20340,173,21.37
20360,173,21.14
20380,173,21.01
20400,173,20.92
20420,173,21.40
20480,173,21.15
20500,173,21.53
20520,173,21.76
20540,173,21.36
20560,173,21.13
20580,173,20.99
20600,173,20.91
20620,173,20.86
20640,173,21.89
20660,173,21.44
20681,173,21.18
20700,173,21.02
20720,173,20.93
20740,173,20.88
20760,173,20.84
20780,173,20.82
20800,173,21.34
20820,173,21.64
20840,173,21.30
20860,173,21.09
20900,173,20.97
20920,173,20.90
20940,173,21.38
20960,173,21.67
20980,173,21.31
21000,173,21.63
21020,173,21.82
21080,173,22.06
21100,173,21.68
21120,173,21.45
21140,173,20.79
21160,173,20.39
21180,173,20.16
21200,173,20.03
21220,173,19.94
21240,173,20.03
21260,173,20.08
21280,173,20.11
21300,173,20.12
21321,173,19.61
21340,173,20.36
21360,173,20.80
21380,173,21.19
21500,173,21.29
21520,173,20.83
21540,173,20.55
21560,173,20.92
21580,173,20.61
21600,173,20.29
21620,173,20.10
21640,173,19.99
21660,173,19.92
21680,173,19.88
21700,173,19.86
21720,173,19.85
21740,173,19.84
21760,173,20.36
21780,173,20.67
21800,173,20.86
21820,173,20.96
21840,173,21.56
21860,173,21.91
21900,173,22.78
22100,173,22.10
22120,173,21.70
22140,173,21.86
22160,173,21.43
22180,173,21.17
22200,173,21.02
22220,173,20.92
22240,173,20.88
22260,173,21.24
22280,173,21.45
22300,173,21.58
22320,173,21.13
22340,173,21.39
22360,173,21.55
22380,173,21.24
22400,173,21.46
22420,173,21.05
22440,173,20.82
22460,173,20.68
22480,173,21.13
22500,173,22.32
22520,173,21.96
22540,173,21.75
22560,173,22.02
22580,173,21.65
22601,173,21.44
22620,173,21.18
22640,173,19.84
22660,173,20.24
22680,173,20.46
22700,173,20.60
22720,173,20.68
22740,173,20.72
22760,173,20.75
22780,173,21.16
22800,173,21.41
22820,173,21.03
22840,173,21.33
22860,173,22.03
22880,173,22.45
22900,173,22.17
22940,173,23.04
22960,173,22.52
22980,173,22.34
23040,173,22.63
23060,173,22.28
23080,173,22.60
23120,173,21.87
23140,173,22.35
23180,173,22.64
23200,173,22.82
23220,173,22.91
23280,173,22.45
23300,173,22.57
23320,173,22.11
23340,173,21.30
23360,173,21.36
23380,173,21.39
23400,173,21.42
23420,173,21.43
23440,173,21.43
23460,173,21.44
23480,173,21.44
23500,173,21.97
23520,173,21.89
23540,173,21.84
23560,173,21.82
23580,173,21.79
23600,173,21.78
23620,173,22.31
23640,173,22.08
23660,173,22.08
23680,173,22.08
23700,173,22.09
23720,173,21.56
23740,173,21.78
23760,173,21.38
23780,173,21.67
23820,173,21.84
23840,173,23.33
23860,173,22.82
23900,173,23.43
23940,173,22.75
23960,173,22.87
23980,173,22.95
24000,173,23.00
24020,173,23.54
24060,173,23.34
24080,173,23.09
24120,173,22.42
24140,173,22.02
24160,173,21.78
24180,173,22.17
24200,173,22.40
24220,173,22.01
24240,173,22.30
24260,173,22.47
24280,173,22.58
24300,173,22.65
24360,173,23.69
24380,173,23.69
24440,173,22.11
24500,173,22.37
24521,173,23.05
24560,173,24.17
24580,173,23.45
24600,173,23.03
24620,173,22.64
24640,173,22.94
24660,173,22.20
24680,173,21.76
24700,173,21.50
24720,173,21.87
24740,173,21.56
24760,173,22.44
24780,173,22.43
24800,173,22.29
24820,173,22.21
