Tiempo(ms),PWM,Altura(cm)
11260,172,17.28
11280,172,16.97
11300,172,16.65
11320,172,16.46
11340,172,17.44
11360,172,17.50
11380,172,17.53
11400,172,17.54
11420,172,17.42
11440,172,17.35
11460,172,17.30
11480,172,17.28
11500,172,17.26
11520,172,17.11
11540,172,17.02
11580,172,17.51
11600,172,17.12
11620,172,17.44
11640,172,17.62
11660,172,17.74
11680,172,17.67
11700,172,17.63
11721,172,17.60
11740,172,17.59
11760,172,17.58
11780,172,17.58
11800,172,17.57
11820,172,17.57
11840,172,17.44
11880,172,17.36
11900,172,17.31
11920,172,17.28
11940,172,17.27
11960,172,17.26
11980,172,16.25
12000,172,16.65
12020,172,16.89
12040,172,16.89
12060,172,16.90
12080,172,17.04
12100,172,17.12
12120,172,17.03
12140,172,17.51
12160,172,17.80
12180,172,17.97
12200,172,18.07
12220,172,17.30
12240,172,17.14
12260,172,17.05
12280,172,17.53
12300,172,17.81
12320,172,17.43
12340,172,17.07
12361,172,17.00
12380,172,17.37
12400,172,17.58
12420,172,17.71
12440,172,17.79
12460,172,17.83
12480,172,17.72
12500,172,17.65
12520,172,17.62
12540,172,17.60
12560,172,17.59
12600,172,17.58
12620,172,17.58
12640,172,17.44
12660,172,17.89
12680,172,18.29
12700,172,17.86
12720,172,17.61
12740,172,17.46
12760,172,17.38
12780,172,17.32
12820,172,17.29
12840,172,17.67
12860,172,17.90
12880,172,18.03
12900,172,18.10
12920,172,18.15
12940,172,18.18
12960,172,18.19
12980,172,18.21
13001,172,18.21
13020,172,18.21
13040,172,18.21
13060,172,18.22
13080,172,18.22
13100,172,18.21
13120,172,18.22
13140,172,18.21
13160,172,18.21
13180,172,18.21
13200,172,18.21
13220,172,18.21
13240,172,18.21
13260,172,18.22
13280,172,18.22
13300,172,18.22
13320,172,18.22
13340,172,18.22
13360,172,18.09
13380,172,18.14
13400,172,18.17
13420,172,18.18
13440,172,18.19
13460,172,18.21
13480,172,18.21
13500,172,18.21
13520,172,18.22
13540,172,18.21
13560,172,17.68
13580,172,17.36
13600,172,17.70
13620,172,17.92
13641,172,18.04
13660,172,18.11
13680,172,18.02
13700,172,18.10
13720,172,18.14
13740,172,18.18
13760,172,18.19
13780,172,18.07
13800,172,18.00
